company_name,raised_amount_usd,homepage_url,short_description,current_url,facebook_url,twitter_url,linkedin_url
247 Techies,6e5,http://www.247techies.com,24/7 Techies is a technical support company providing remote technology support to the global micro SMB sector.,http://www.247techies.com,http://www.facebook.com/247techiesonline,http://twitter.com/247techies,http://www.linkedin.com/company/247-techies
24Fundraiser.com,4e5,http://www.24Fundraiser.com,24Fundraiser is an all-in-one online fundraising platform and cloud-based donor management system.,http://www.24fundraiser.com,http://www.facebook.com/24Fundraiser,http://twitter.com/24fundraiser,NA
250ok,2e5,http://250ok.com,250ok is the preferred choice for email analytics and deliverability services by forward-thinking brands.,http://250ok.com,https://www.facebook.com/Get250ok/,http://twitter.com/250ok,https://www.linkedin.com/company/250ok
27 Perry,118e3,http://www.27perry.com,27 Perry provides a curated online marketplace for consignment stores.,http://www.27perry.com,NA,NA,NA
2NDNATURE,2e4,http://www.2ndnaturellc.com,"2NDNATURE develops scientifically defensible & low-cost tools to rapidly evaluate the relative condition of a landscape feature (e.g.,",http://www.2ndnaturellc.com,NA,NA,NA
2NGageU,58e3,http://www.2ngageu.com,"2NGageU creates mobile app brands in underserved niche markets, that engage and connect people.",http://www.2ngageu.com,NA,https://www.twitter.com/artemiskane,NA
2NGageU,58e3,http://www.2ngageu.com,"2NGageU creates mobile app brands in underserved niche markets, that engage and connect people.",http://www.2ngageu.com,NA,https://www.twitter.com/msveeo,NA
2RedBeans,23e5,http://www.2redbeans.com/en,2RedBeans is a dating site for Chinese diaspora community.,http://www.2redbeans.com/en,http://www.facebook.com/2redbeans,http://twitter.com/2RedBeans,NA
30 Second Showcase,25e3,http://www.30secondshowcase.com,30 Second Showcase develops a mobile application enabling professionals in creating mini-portfolios of their work.,http://www.30secondshowcase.com,NA,http://twitter.com/30SecShow,NA
37coins,262500.0,http://www.37coins.com,"We are committed to making bitcoin easy, secure to use, and accessible to everyone.",http://www.37coins.com,http://www.facebook.com/37coins,http://twitter.com/37coins,http://www.linkedin.com/company/5178970
3D Biomatrix,1465e3,http://3dbiomatrix.com,3D Biomatrix designs and manufactures 3D culture plates and scaffolds for cellular assays in drug discovery operations.,http://3dbiomatrix.com,http://www.facebook.com/3dbiomatrix,http://twitter.com/3DBiomatrix,http://www.linkedin.com/company/3d-biomatrix
3Diligent,9e5,http://www.3diligent.com,"3Diligent is the B2B Marketplace for Industrial Grade Rapid Manufacturing. The Sourcing Solution for 3D Printing, CNC Machining, and More",http://www.3diligent.com,https://www.facebook.com/3Diligent,https://twitter.com/3diligent,https://www.linkedin.com/company/3diligent
"3D Operations, Inc.",7500.0,http://www.3dops.co,3D Ops is a medical modeling company that utilizes 3D printing to generate patient-specific anatomical models for surgical simulations.,http://www.3dops.co,http://www.facebook.com/3dops,http://twitter.com/3DOps,http://www.linkedin.com/company/3d-operations-inc-
3dplusme,18e5,http://3dplus.me,"3DPlusMe, Inc. provides personalized merchandising platform for consumer 3D printing.",http://3dplus.me,http://www.facebook.com/3dplusme,http://twitter.com/3DplusMe,https://www.linkedin.com/in/3dplusme
3FLOZ,75e4,http://www.3floz.com,3FLOZ offers retail innovation with Automated Pop-Up Stores,http://www.3floz.com,http://www.facebook.com/3Floz,http://twitter.com/3floz,https://www.linkedin.com/company/3floz
3TEN8,167e4,http://www.3ten8.com/,Operate Better. Apply to our Senior Full-stack Engineer/Architect founding engineer role: https://jobs.lever.,http://www.3ten8.com/,NA,https://www.twitter.com/3ten8,NA
44LAB5,45e4,http://44lab5.com,44LAB5 is a U.S.-based company that is involved with streamlining marketing with useful up to the second data.,http://44lab5.com,NA,NA,NA
4Cable TV,20900.0,http://4cable.tv,4Cable TV is a developer and producer of a variety of products to aid cable providers.,http://4cable.tv,http://www.facebook.com/4CableTV,http://twitter.com/4Cabletv,http://www.linkedin.com/company/4cable-tv-inc
4Deep,5e5,http://4-deep.com/,4Deep is a develops patented holographic technology,http://4-deep.com/,https://www.facebook.com/4Deepii,NA,https://www.linkedin.com/company/4deep-inwater-imaging
4Soils,5e4,http://www.4soils.com,4Soils develops iOS applications that engage children with Bible stories.,http://www.4soils.com,http://www.facebook.com/4Soils,http://twitter.com/4soils,NA
5 Million Shoppers,15e3,http://5mshoppers.com/,A Delaware registered in the mobile Internet company,http://5mshoppers.com/,NA,NA,NA
5o9,5e4,http://www.3pmobile.com,"5o9 offers 3PMobile®, software that helps businesses who want to extend their web services to mobile users.",http://www.3pmobile.com,NA,http://twitter.com/3PMobile,NA
5th Avenue Media,25e4,http://5thavemedia.com,Digital Media Agency,http://5thavemedia.com,NA,NA,NA
640 Labs,27e5,http://www.640labs.com/,"640 Labs is a precision farming platform that collects, analyzes and distributes data, effectively optimizing farming operations",http://www.640labs.com/,http://www.facebook.com/640Labs,http://twitter.com/640Labs,http://www.linkedin.com/company/640-labs
71lbs,15e4,http://71lbs.com,71lbs provides analytics and reporting tools that help small and medium businesses save money on shipping.,http://71lbs.com,http://www.facebook.com/71lbs,http://twitter.com/71lbs,http://www.linkedin.com/company/2594001
818 Sports & Entertainment,2e6,http://www.818se.com/,818 Sports and Entertainment is a technology startup focused on live sport.,http://www.818se.com/,NA,NA,http://www.linkedin.com/company/818-sports-&-entertainment
8fit - Fitness for the rest of us,115e3,http://8fit.com,Mobile app for Interactive Workouts and Customized Nutrition plans,http://8fit.com,http://www.facebook.com/8fitapp,http://twitter.com/8fit,http://www.linkedin.com/company/8fit
8 Inc.,225e4,http://www.weare8.com,"Content creators own, Control and profit from everything they upload.",https://the8app.com,https://www.facebook.com/TheOfficial8App/?fref=ts,https://twitter.com/The8App,https://www.linkedin.com/company/3190889?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3190889%2Cidx%3A2-1-2%2CtarId%3A1459876808760%2Ctas%3Athe8ap
8tracks Radio,15e5,http://www.8tracks.com,8tracks is an internet radio and social network that streams user-curated song playlists that contain at least 8 tracks.,http://www.8tracks.com,http://www.facebook.com/8tracks,http://twitter.com/8tracks,https://www.linkedin.com/company/8tracks
911 View,15e3,NA,911 View is a mobile development company that develops apps for public safety professionals.,http://911view.com,https://www.facebook.com/crimereports,NA,NA
99Gamers,1e5,http://www.99gamers.com,99Gamers makes it easy to trade your unwanted video games for ones you’ve longed for.,http://www.99gamers.com,https://www.facebook.com/99gamers,http://twitter.com/99_Gamers,NA
9SLIDES,5e5,http://www.9SLIDES.com,"9SLIDES is a cloud-based presentation platform that allows users to create, deliver, and measure presentations.",http://www.9slides.com,http://www.facebook.com/9Slides,http://twitter.com/9slides,http://www.linkedin.com/company/9slides
A4C,1e6,http://www.a4c.us,A4C is an online marketplace for a number of different technology products.,http://www.a4c.com,http://www.facebook.com/A4C,http://twitter.com/all4cellular,NA
A4C,1e6,http://www.a4c.us,"Sort of like Uber, but pre-arranged & legal everywhere",http://www.a4c.us,https://www.facebook.com/a4c,https://www.twitter.com/all4cellular,NA
Abacus,35e5,http://abacus.com,Abacus helps investors make and execute decisions in African Capital Markets,https://www.abacus.co.ke,https://www.facebook.com/abacuske,https://www.twitter.com/abacuske,NA
Abacus,35e5,http://abacus.com,We're a VC-backed lean mean technical marketing agency with a focus on advanced Facebook advertising.,http://abacus.agency/,NA,NA,NA
Abakan,927265.0,http://www.abakaninc.com,Abakan develops waste-to-energy conversion technology that converts waste to a variety of revenue-producing products and renewable energy.,http://www.abakaninc.com,http://www.facebook.com/AbakanInc,http://twitter.com/AbakanInc,NA
Abattis Bioceuticals,20014.0,http://abattis.com,Abattis Bioceuticals is a biotechnology life sciences company developing health solutions for chronic illnesses in humans and animals.,http://abattis.com,http://www.facebook.com/pages/Abattis-Bioceuticals-Corp-Medical-,http://twitter.com/abattis,http://www.linkedin.com/company/abattis-bioceuticals-corp
AbbeyPost,193750.0,http://abbeypost.com,Software-driven custom apparel that fits every woman's shape and size.,http://abbeypost.com,http://www.facebook.com/theabbeypost,http://twitter.com/abbey_post,http://www.linkedin.com/company/abbeypost
"Abelite Design Automation, Inc",0.0,http://www.abelite-da.com,Abelite Design Automation provides statistical timing signoff tools and consulting for digital designs.,http://www.abelite-da.com,NA,NA,http://www.linkedin.com/company/abelite-design-automation-inc
Abeona Therapeutics,75e4,http://abeonatherapeutics.com,Abeona Therapeutics develops gene therapy-based potential cures for Sanfilippo syndrome types A and B.,http://abeonatherapeutics.com,http://www.facebook.com/AbeonaTherapeutics,http://twitter.com/AbeonaBio,NA
Ability Dynamics,15e5,http://www.abilitydynamics.com,Ability Dynamics is a medical device company that develops and manufactures prosthetic limbs.,http://www.abilitydynamics.com,http://www.facebook.com/RushFoot,http://twitter.com/rushfoot,http://www.linkedin.com/company/ability-dynamics-llc
aBioBot,5e4,http://abiobot.org/,Helps bio scientists make breakthroughs by shortening the time for scientific discovery.,http://abiobot.org/,NA,NA,NA
Ablative Solutions,5e3,http://ablativesolutions.com,Ablative Solutions is a medical device firm that offers an alternative to surgical renal denervation for treating hypertension.,http://ablativesolutions.com,NA,NA,https://www.linkedin.com/company/ablative-solutions-inc-
Able Device,5e4,http://abledevice.com,"Able Device fuels the growth of M2M by reducing the cost, complexity, and risk associated with developing embedded wireless applications.",http://abledevice.com,NA,NA,NA
ablio,25e4,http://ablio.com,Ablio provides professional on-line live interpreting services from any language into any language.,http://ablio.com,NA,NA,NA
abode,1e6,http://www.goabode.com,Abode Systems is reinventing home security and automation by creating high quality products and innovative cloud based services.,http://www.goabode.com,http://www.facebook.com/goabode,http://twitter.com/goabode,http://www.linkedin.com/company/abode-systems-inc-
ABODO,172500.0,http://www.abodo.com,ABODO is a hyper local apartment search service.,http://www.abodo.com,https://www.facebook.com/abodoapartments/,http://twitter.com/abodoapts,http://www.linkedin.com/company/2260243
AboutOne,45400.0,http://www.AboutOne.com,AboutOne provides an online family management system that helps families get organized.,http://www.aboutone.com,http://www.facebook.com/aboutone,http://twitter.com/AboutOne,NA
Abra,2e6,http://goabra.com,The people's way to send and receive cash.,http://goabra.com,https://www.facebook.com/GoAbraGlobal,https://twitter.com/AbraGlobal,NA
Absolute Commerce,2e5,http://absolutecommerce.com/,"Absolute Commerce combines an ultra-modern data acquisition platform, world class pricing and procurement optimization expertise",http://absolutecommerce.com/,http://www.facebook.com/AbsoluteCommerce,http://twitter.com/AbsCommerce,http://www.linkedin.com/company/absolute-commerce-inc
Acacia Trading,3300.0,https://www.tradeacacia.com/,Easy & powerful bitcoin/crypto trading bot,https://www.tradeacacia.com/,http://www.facebook.com/TradeAcacia,http://twitter.com/AcaciaTrading,http://www.linkedin.com/company/acacia-trading-inc-
Accel Diagnostics,25e3,http://acceldx.com,"Accel Diagnostics is developing a lab-on-chip protein diagnostic platform that enables inexpensive, disposable, credit-card sized devices",http://acceldx.com,NA,http://twitter.com/acceldx,http://www.linkedin.com/company/accel-diagnostics
Accelerated Orthopedic Technologies,15e4,http://www.acceleratedorthopedics.com,"Accelerated Orthopedic Technologies developed tools for obtaining, shaping and implanting cartilage grafts.",http://www.acceleratedorthopedics.com,NA,NA,NA
Accellion,1410901.0,http://www.accellion.com,Accellion is the leading provider of private cloud solutions for secure file sharing and collaboration.,http://www.accellion.com,http://www.facebook.com/Accellion,http://twitter.com/accellion,http://www.linkedin.com/company/accellion
Access Mobile,24e4,http://accessmobileinc.com,Access Mobile is a company focused on providing peer-to-peer VAS services and solutions. ,http://www.access-mobile.com/,NA,NA,NA
Accion Systems,2e6,http://www.accion-systems.com,Accion Systems is a provider of propulsion systems for satellites based on proprietary technology developed at MIT.,http://www.accion-systems.com,NA,http://twitter.com/AccionSystems,https://www.linkedin.com/company/accion-systems-inc-
Acclaimd,45e3,http://www.acclaimd.com,Acclaimd provides web-based tools that help corporate and contract recruiters market jobs to qualified talent or connectors to talent.,http://www.acclaimd.com,NA,http://twitter.com/acclaimd,NA
Accordion Health,15e4,https://accordionhealth.com,Accordion Health builds innovative data-driven platforms for value-based care.,https://accordionhealth.com,https://www.facebook.com/accordionhealth/,https://twitter.com/AccordionHealth,https://www.linkedin.com/company/3778214
Accountable,158e3,http://www.accountablehq.com,Accountable is a platform designed to help organizations manage HIPAA compliance.,http://www.accountablehq.com,NA,http://twitter.com/accountable_hq,NA
Accredible,15e4,http://www.accredible.com,Course certificates for the information age.,http://www.accredible.com,http://www.facebook.com/Accredible,http://twitter.com/Accredible,NA
Accu-Break Pharmaceuticals,1e6,http://accubreakpharmaceuticals.com,Accu-Break develops pharmaceutical tablet technologies to create tablets that can be easily divided by hand into exact smaller doses.,http://accubreakpharmaceuticals.com,NA,NA,NA
Aceable,47e5,http://www.aceable.com,Aceable is an education startup that wants to revolutionize all those mind-numbingly boring online courses.,http://www.aceable.com,http://www.facebook.com/Aceable,http://twitter.com/aceable,https://www.linkedin.com/company/aceable
Acera Surgical,6e5,http://acerasurgical.com,Acera Surgical is a medical device company developing a line of implantable electrospun neurosurgical meshes and related tools.,http://acerasurgical.com,NA,NA,NA
Achieve Lending,5e4,http://www.achievelending.com/,"Being the first-ever student loan comparison tool, AchieveLending.",http://www.achievelending.com/,https://www.facebook.com/541965035905646,https://twitter.com/AchieveLending,NA
Achvr,125e4,http://www.achvrs.com,"Achvr offers a mobile app that enables users to discover, track, and share their entertainment experiences and activities.",http://www.achvrs.com,http://www.facebook.com/Achvr,http://twitter.com/achvr,NA
A Class Limos,45e3,https://www.aclass-limos.com,One of the largest growing limousines company in South Florida of stretch limos and party buses.,https://www.aclass-limos.com,https://www.facebook.com/FTL.Limos/,https://twitter.com/FTLLimo,https://www.linkedin.com/profile/view?id=AAMAABOMPtIBr1w7L0QfcE_9o4kIC0uijpOjohc&trk=hp-identity-photo
Acopio,2e4,http://acopio.org,"Acopio offers tools and services to collect, manage, and share data along the agricultural value chain.",http://acopio.org,https://www.facebook.com/AcopioInc,http://twitter.com/acopio,https://www.linkedin.com/company/acopio
Acopio,2e4,http://acopio.org,Social network to extend your professional networking .,http://www.acop.io,http://www.facebook.com/myacopio,http://twitter.com/myacopio,NA
Acorns,3e5,http://www.acorns.com,Acorns is a finance company that allows individuals to round up purchases and automatically invest the change.,http://www.acorns.com,http://www.facebook.com/acornsgrow,http://twitter.com/acorns,http://www.linkedin.com/company/acorns-grow-inc-?
Acquaintable,4e4,http://acquaintable.com,Acquaintable is an online dating site that enables people to meet friends-of-friends.,http://acquaintable.com,NA,http://twitter.com/acquaintable,https://www.linkedin.com/company/acquaintable
Acrinta,13e4,http://www.acrinta.com,Acrinta is a solution for integrating employees with employers via a wellness and physical activity software platform.,http://www.acrinta.com,NA,http://twitter.com/Acrinta,NA
ActionX,2e6,http://actionx.com,ActionX connects gaps between mobile customer acquisition and mobile retargeting to drive transactions and improve customer lifetime value.,http://actionx.com,NA,http://twitter.com/ActionXinc,NA
Activaided Orthotics,25e3,http://activaided.com,Activaided Orthotics has created a line of apparel to eliminate back pain by training rehabilitative habits and behaviors.,http://activaided.com,http://www.facebook.com/ActivAided,http://twitter.com/ActivAided,http://www.linkedin.com/company/activaided-orthotics
Activate Healthcare,95e4,http://activatehealthcare.com,"Activate Healthcare delivers proactive, preventive primary care at or near an employer’s location.",http://activatehealthcare.com,NA,https://twitter.com/activateclinics,https://www.linkedin.com/company/activate-healthcare
"Activation, Inc.",305e3,http://www.activationmobile.com,Connecting Brand Enthusiasts on Mobile,http://www.activationmobile.com,http://www.facebook.com/activationmobile,https://twitter.com/weareactivation,NA
Activehours,4099999.0,https://www.activehours.com,Activehours develops a smartphone-based application that enables hourly workers to get paid early when they need it.,https://www.activehours.com,http://www.facebook.com/activehours,http://twitter.com/ActiveHours,http://www.linkedin.com/company/activehours
Active Location Inc.,25e4,http://activelocation.com,Active Location™ is a provider of our Mobile eXperience Platform™ (MXP),http://activelocation.com,NA,NA,NA
Actively Learn,1029954.0,http://www.activelylearn.com,Actively Learn is a digital platform that lets students find joy and purpose in reading.,http://www.activelylearn.com,http://www.facebook.com/activelylearn,http://twitter.com/activelylearn,http://www.linkedin.com/company/actively-learn
Active Scaler,28e3,http://activescaler.com/,ActiveScaler is building software that accelerates next generation web infrastructure.,http://activescaler.com/,https://www.facebook.com/activescaler,https://www.twitter.com/activescaler,NA
ActualMeds,4e5,http://www.adheretx.com/,ActualMeds is the first solution to provide “medication reconciliation on demand” at point of care and to automate the process,http://www.adheretx.com/,NA,NA,http://www.linkedin.com/company/adheretx
ActX,1335197.0,http://actx.com,ActX is focused on making patient genomic information that are useful in everyday medical practice.,http://actx.com,http://www.facebook.com/actxinc,NA,http://www.linkedin.com/company/actx-inc-
Acumen Pharmaceuticals,7e5,http://www.acumenpharm.com,Acumen Pharmaceuticals is focused on discovering and developing best in class therapeutics and diagnostics for Alzheimer’s disease.,http://www.acumenpharm.com,NA,NA,NA
A Curated World,5e4,http://kaymcgowan.com,"A Curated World offers online shopping for handcrafted fashion and home decor, and gives information on the people behind the products.",http://kaymcgowan.com,http://www.facebook.com/curatedworld,http://twitter.com/curatedworld,NA
Acustream,2e6,http://acustream.com,AcuStream is a healthcare IT company offering web-based solutions that enable users to get patient charge data for revenue recapturing.,http://acustream.com,NA,http://twitter.com/acustream,NA
ACV Auctions,1e6,https://www.acvauctions.com/,ACV Auctions is a mobile app for car dealers to facilitate wholesale vehicle auctions,https://www.acvauctions.com/,https://www.facebook.com/acvauctions/timeline,https://twitter.com/acvauctions,https://www.linkedin.com/company/acv-auctions
AdAdapted,395e3,http://adadapted.com,AdAdapted helps brands understand and engage consumers in the world’s most popular form of media: mobile apps.,http://adadapted.com,https://www.facebook.com/adadapted/,https://twitter.com/adadapted,https://www.linkedin.com/company/adadapted
Adagio Medical,2500001.0,http://adagiomedical.com,Adagio Medical is engaged in the research and development of treatments for cardiovascular diseases.,http://adagiomedical.com,NA,NA,http://www.linkedin.com/company/adagio-medical-inc-
Adama Materials,1760445.0,http://www.adamamaterials.com,Adama Materials develops nanotechnology-based advanced materials used in composite materials and other applications.,http://www.adamamaterials.com,NA,http://twitter.com/AdamaMaterials,https://www.linkedin.com/company/adama-materials
AdaptiveWell Technologies,4e5,http://www.adaptivewell.com,"AdaptiveWell solves a multi-Billion Dollar, Big Data problem for Oil & Gas operators, resulting in capital efficiency and increased profits.",http://www.adaptivewell.com,NA,NA,https://www.linkedin.com/company/adaptivewell-technologies
Adarza BioSystems,25e4,http://www.adarzabio.com,Adarza BioSystems develops a biological assay platform for measuring clinical and point-of-care samples.,http://www.adarzabio.com,NA,NA,NA
Adcade,15e5,http://adcade.com,"Adcade helps designers and developers with creative technology to build rich ad experiences for screen, device, and ad server.",http://www.adcade.com,http://www.facebook.com/adcadenyc,http://twitter.com/Adcade,http://www.linkedin.com/company/adcade
Addapp,18e5,https://addapp.io/,Addapp is a mobile application that translates its users’ health apps and activity tracker data into actionable recommendations.,https://addapp.io/,https://www.facebook.com/addappio,http://twitter.com/addappio,http://www.linkedin.com/company/3076647
AddShoppers,725e3,http://www.AddShoppers.com,AddShoppers is an on-site marketing platform enabling marketers to launch new eCommerce campaigns and experiences without IT.,http://www.addshoppers.com,NA,http://twitter.com/addshoppers,NA
Addvocate,339e3,http://addvocate.com,"Addvocate is a social sharing platform for people at work, allowing businesses to track social voices of employees.",http://addvocate.com,http://www.facebook.com/addvocate,http://twitter.com/addvocate,http://www.linkedin.com/company/2642524
Adelphic,2e6,http://www.adelphic.com,Adelphic's patented technology overcomes the limitations of user identification in mobile and across networked devices.,http://www.adelphic.com,http://www.facebook.com/AdelphicMobile,http://twitter.com/AdelphicMobile,https://www.linkedin.com/company/adelphic-mobile
AdEspresso,9e5,http://adespresso.com,"AdEspresso offers services for advertisers and media agencies to create, analyze, and optimize their Facebook advertisements.",http://adespresso.com,http://www.facebook.com/AdEspresso,http://twitter.com/AdEspresso,http://www.linkedin.com/company/adespresso
adFreeq,139e3,http://www.adFreeq.com,adFreeq is a web-based platform that enables its users to create a retail marketplace of goods and services on any website.,http://www.adfreeq.com,http://www.facebook.com/adfreeq,http://twitter.com/adFreeq,NA
AdHawk,14e5,http://www.tryadhawk.com,"AdHawk aggregates a company's total digital marketing data, and offers advertisers one-click optimization solutions.",https://www.tryadhawk.com,https://www.facebook.com/pages/adHawk/1094583727235450?sk=timeline,https://twitter.com/adhawk,https://www.linkedin.com/company/adhawk?trk=top_nav_home
Adherence Compliance,6e4,http://www.adherence-corp.com,"Adherence is the leader in regulatory and financial software for cannabis compliance, one of the most highly regulated industries in the US.",http://www.adherence-corp.com,NA,NA,https://www.linkedin.com/company/9211570
Adherial,28e4,http://www.adherial.com,Adherial provides a white label benefits platform sold through third-party agencies & benefit consultants to employers.,http://www.adherial.com,NA,NA,http://www.linkedin.com/company/adherial?trk=top_nav_home
Adhusky,3e4,http://www.adhusky.com/,Adhusky offers an automated Facebook advertisement solution for financial service firms.,http://www.adhusky.com/,NA,https://twitter.com/adhusky,NA
AdiCyte,1324701.0,http://adicyte.com,"AdiCyte offers cryopreservation of adipose tissue and stem cells for patients in cosmetics, regenerative medicine and tissue engineering.",http://adicyte.com,http://www.facebook.com/AdiCyte.cryobank,http://twitter.com/AdiCyte,NA
AdmitHub,206500.0,https://college.admithub.com,"AdmitHub offers free, expert admissions advising to all applicants everywhere.",https://www.admithub.com/,http://www.facebook.com/AdmitHub,http://twitter.com/AdmitHub,https://www.linkedin.com/company/9288295
AdmitSee,18e5,https://www.admitsee.com,AdmitSee helps students make better college application decisions with analytics and peer insights.,https://www.admitsee.com,http://www.facebook.com/admitsee,http://twitter.com/admitsee,http://www.linkedin.com/company/admitsee-llc
Admittedly,67e4,http://admittedly.com,"Admittedly is an online college advisory platform with free tools for high school students, parents, and high school guidance counselors.",http://admittedly.com,http://www.facebook.com/admitted.ly,http://twitter.com/admitted_ly,NA
AdMobilize,45e5,http://www.admobilize.com,AdMobilize provides hardware and software solutions that connect physical and digital worlds.,https://www.admobilize.com/#/index,https://www.facebook.com/AdMobilize/,https://twitter.com/AdMobilize,https://www.linkedin.com/company/2661609?trk=tyah&trkInfo=clickedVertical%3Acompany%2CentityType%3AentityHistoryName%2CclickedEntityId%3Acompany_2661609%2Cidx%3A0
Adnoviv,25e3,http://www.adnoviv.com/,Adnoviv LLC specializes in the development and commercialization of intelligent sensors and systems for industrial.,http://www.adnoviv.com/,NA,NA,NA
Adolade,2e4,http://www.adolade.com/,Hosted reward-serving platform for developers and brands.,http://www.adolade.com/,NA,http://twitter.com/adolade,NA
Adomik,13e5,http://adomik.com,Adomik provides technology for digital media sellers that helps them analyze and optimize programmatic media sales,http://adomik.com,NA,http://twitter.com/adomik1,http://www.linkedin.com/company/2717522
Adora Inc.,6e4,http://www.getadora.com,"Adora Inc. is a mobile application that sends uplifting messages, raising support for charities and businesses.",http://www.getadora.com,https://www.facebook.com/getadoraAPP/,https://twitter.com/getadora,https://www.linkedin.com/company/3843052?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3843052%2Cidx%3A1-2-2%2CtarId%3A1447875066661%2Ctas%3Aadora%20in
Adored,23e5,http://www.adored.com/,"Increase lifetime value with the Adored loyalty experience. Bring guests back more often, encourage them to spend more & introduce friends.",http://www.adored.com/,https://www.facebook.com/getadored,http://twitter.com/adored,https://www.linkedin.com/company/adored-inc-?trk=top_nav_home
Adrenaline Mobility,68333.33333333333,http://adrenalinemobility.com,Adrenaline mobility provides secure backend services for mobile apps.,http://adrenalinemobility.com,NA,http://twitter.com/AdrenalineIo,NA
ADR Sales & Concepts,5e4,http://www.adrsalesandconcepts.com,ADR Sales & Concepts provides search engine optimization and marketing solutions for businesses.,http://www.adrsalesandconcepts.com,NA,http://twitter.com/ajderaaf,NA
ADS-B Technologies,2e5,http://ads-b.com,"ADS-B Technologies provides technology solutions for communications, navigation, and surveillance of air traffic management.",http://ads-b.com,NA,NA,NA
AdsNative,2e6,http://www.adsnative.com,AdsNative is a content ad server that allows publishers to better monetize websites and apps through native ads.,http://www.adsnative.com,https://www.facebook.com/adsnative,http://twitter.com/AdsNative,http://www.linkedin.com/company/adsnative
AdStage,833333.3333333334,https://www.adstage.io,"AdStage Inc. is an advertising technology startup building advanced tools to help businesses build, manage and optimize online ad campaigns.",https://www.adstage.io,http://www.facebook.com/getadstage,http://twitter.com/adstage,http://www.linkedin.com/company/2757895
Adstrix,55e4,http://adstrix.com,Adstrix is an advanced cloud-based marketplace platform that helps media companies leverage their advertising offering for SMBs.,http://adstrix.com,NA,NA,http://www.linkedin.com/company/adstrix
Advanced Catheter Therapies,45e4,http://acatheter.com,"Advanced Catheter Therapies develops catheter technologies targeting vascular disease including thrombosis, inflammation, and occlusions.",http://acatheter.com,NA,NA,NA
Advanced Life Wellness Institute,167e3,http://alwii.org,Advanced Life Wellness Institute provides comprehensive preventive medical evaluations and professional recommendations.,http://alwii.org,http://www.facebook.com/pages/Advanced-Life-Wellness-Institute-I,NA,http://www.linkedin.com/company/advanced-life-wellness-institute-inc-
Advanced Proteome Therapeutics,380983.3333333333,http://advancedproteome.com,Advanced Proteome Therapeutics is focused on the development of novel therapeutics for the treatment of cancerous tumors.,http://advancedproteome.com,NA,NA,NA
Adventure Bucket List,25e3,http://www.adventurebucketlist.com,Adventure Bucket List is a SaaS & e-commerce empowering Adventure Venders. Think of Open Table & for tours and activities,http://www.adventurebucketlist.com,https://www.facebook.com/advbucketlist,https://www.twitter.com/advbucketlist,NA
Adventure to Fitness,15e5,http://adventuretofitness.com,"Inspiring kids to lead healthy lifestyles through imagination, education, and movement!",http://adventuretofitness.com,http://www.facebook.com/adventuretofitness,http://twitter.com/adventuretofit,NA
AdverCar,2e6,http://advercar.com,adverCar offers a technology platform that parters ads with drivers to weave messages into consumers' online lives.,http://advercar.com,https://www.facebook.com/advercar,http://twitter.com/advercar,NA
Advice Wallet,131666.66666666666,http://www.advicewallet.com,"Advice Wallet is a mobile loyalty program that enables local businesses to attract, retain and understand customers.",http://www.advicewallet.com,http://www.facebook.com/AdviceWallet,http://twitter.com/AdviceWallet,NA
